,address,age,crown_diameter,district_id,downloaded_at,genus_latin,gml_id,identification_tag,ingested_at,location_number,owner,spatial_alias,spatial_name,spatial_type,species_german,species_latin,tree_height,trunk_circumference,year_of_planting
526,Görlitzer Park,36,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133602,50052,2016-08-15T19:30:47.290Z,620,Land Berlin,F10__133602,F10__133602,Point,ESCHEN-AHORN,ACER NEGUNDO,12,81,1980
527,Görlitzer Park,18,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133603,50052,2016-08-15T19:30:47.290Z,622,Land Berlin,F10__133603,F10__133603,Point,FELD-AHORN - HECKEN-AHORN - MASSHOLDER,ACER CAMPESTRE,12,43,1998
528,Görlitzer Park,91,11,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133604,50052,2016-08-15T19:30:47.290Z,634,Land Berlin,F10__133604,F10__133604,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,17,223,1925
529,Görlitzer Park,40,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133605,50052,2016-08-15T19:30:47.290Z,635,Land Berlin,F10__133605,F10__133605,Point,ESCHEN-AHORN,ACER NEGUNDO,12,95,1976
530,Görlitzer Park,23,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__121620,50052,2016-08-15T19:30:47.290Z,883,Land Berlin,F10__121620,F10__121620,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,7,49,1993
531,Görlitzer Park,59,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__121621,50052,2016-08-15T19:30:47.290Z,897,Land Berlin,F10__121621,F10__121621,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,12,145,1957
532,Görlitzer Park,78,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__121622,50052,2016-08-15T19:30:47.290Z,903,Land Berlin,F10__121622,F10__121622,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,7,193,1938
533,Görlitzer Park,33,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,BETULA,re_anlagenbaeume.F10__121623,50052,2016-08-15T19:30:47.290Z,910,Land Berlin,F10__121623,F10__121623,Point,"SANDBIRKE, WEISS-BIRKE",BETULA PENDULA,12,75,1983
534,Görlitzer Park,23,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__121624,50052,2016-08-15T19:30:47.290Z,919,Land Berlin,F10__121624,F10__121624,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,7,49,1993
535,Görlitzer Park,32,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,BETULA,re_anlagenbaeume.F10__121625,50052,2016-08-15T19:30:47.290Z,926,Land Berlin,F10__121625,F10__121625,Point,"SANDBIRKE, WEISS-BIRKE",BETULA PENDULA,12,74,1984
536,Görlitzer Park,47,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__121626,50052,2016-08-15T19:30:47.290Z,927,Land Berlin,F10__121626,F10__121626,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,17,112,1969
537,Görlitzer Park,55,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__121627,50052,2016-08-15T19:30:47.290Z,947,Land Berlin,F10__121627,F10__121627,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,12,132,1961
538,Görlitzer Park,32,8,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__121628,50052,2016-08-15T19:30:47.290Z,951,Land Berlin,F10__121628,F10__121628,Point,KIRSCHE,PRUNUS SPEC.,7,98,1984
539,Görlitzer Park,21,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__121629,50052,2016-08-15T19:30:47.290Z,956,Land Berlin,F10__121629,F10__121629,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,12,48,1995
540,Görlitzer Park,80,11,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ULMUS,re_anlagenbaeume.F10__133616,50052,2016-08-15T19:30:47.290Z,758,Land Berlin,F10__133616,F10__133616,Point,FLATTER-ULME,ULMUS LAEVIS,12,209,1936
541,Görlitzer Park,31,8,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__133617,50052,2016-08-15T19:30:47.290Z,761,Land Berlin,F10__133617,F10__133617,Point,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,17,75,1985
542,Görlitzer Park,55,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__133618,50052,2016-08-15T19:30:47.290Z,765,Land Berlin,F10__133618,F10__133618,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,7,132,1961
543,Görlitzer Park,112,10,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__133619,50052,2016-08-15T19:30:47.290Z,767,Land Berlin,F10__133619,F10__133619,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,12,271,1904
544,Görlitzer Park,79,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__133620,50052,2016-08-15T19:30:47.290Z,769,Land Berlin,F10__133620,F10__133620,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,12,198,1937
545,Görlitzer Park,103,10,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__133621,50052,2016-08-15T19:30:47.290Z,771,Land Berlin,F10__133621,F10__133621,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,12,253,1913
546,Görlitzer Park,27,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__133622,50052,2016-08-15T19:30:47.290Z,773,Land Berlin,F10__133622,F10__133622,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,7,61,1989
547,Görlitzer Park,24,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__133623,50052,2016-08-15T19:30:47.290Z,797,Land Berlin,F10__133623,F10__133623,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,12,51,1992
548,Görlitzer Park,29,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__133624,50052,2016-08-15T19:30:47.290Z,826,Land Berlin,F10__133624,F10__133624,Point,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,12,72,1987
